job_id,backend,current_time,queue_position,status,finish_time,output
5edf7dc91e236100126a8c9a,ibmq_burlington,,,JobStatus.DONE,"{'CREATING': datetime.datetime(2020, 6, 9, 13, 17, 13, 53000, tzinfo=tzlocal()), 'CREATED': datetime.datetime(2020, 6, 9, 13, 17, 14, 770000, tzinfo=tzlocal()), 'VALIDATING': datetime.datetime(2020, 6, 9, 13, 17, 14, 805000, tzinfo=tzlocal()), 'VALIDATED': datetime.datetime(2020, 6, 9, 13, 17, 15, 383000, tzinfo=tzlocal()), 'QUEUED': datetime.datetime(2020, 6, 9, 13, 17, 15, 605000, tzinfo=tzlocal()), 'RUNNING': datetime.datetime(2020, 6, 9, 13, 17, 24, 246000, tzinfo=tzlocal()), 'COMPLETED': datetime.datetime(2020, 6, 9, 13, 17, 35, 332000, tzinfo=tzlocal())}","{'1': 993, '0': 31}"
5edf7dce86d5bb0014ec61ee,ibmq_armonk,,,JobStatus.DONE,"{'CREATING': datetime.datetime(2020, 6, 9, 13, 17, 18, 270000, tzinfo=tzlocal()), 'CREATED': datetime.datetime(2020, 6, 9, 13, 17, 19, 701000, tzinfo=tzlocal()), 'VALIDATING': datetime.datetime(2020, 6, 9, 13, 17, 19, 757000, tzinfo=tzlocal()), 'VALIDATED': datetime.datetime(2020, 6, 9, 13, 17, 20, 408000, tzinfo=tzlocal()), 'QUEUED': datetime.datetime(2020, 6, 9, 13, 17, 20, 668000, tzinfo=tzlocal()), 'RUNNING': datetime.datetime(2020, 6, 9, 13, 17, 20, 986000, tzinfo=tzlocal()), 'COMPLETED': datetime.datetime(2020, 6, 9, 13, 17, 34, 196000, tzinfo=tzlocal())}","{'1': 967, '0': 57}"
5edf7df2f5c34c0013850e9b,ibmqx2,13:17:55.755643,,JobStatus.VALIDATING,,
5edf7dfbf5c34c0013850e9d,ibmq_burlington,13:18:03.632284,,JobStatus.VALIDATING,,
5edf7dffa47c8800121e1420,ibmq_armonk,13:18:08.548075,,JobStatus.VALIDATING,,
5edf7d7ea47c8800121e1415,ibmq_16_melbourne,13:18:26.099285,6,JobStatus.QUEUED,,
5edf7d83c872b500124de5c1,ibmq_vigo,13:18:28.321095,51,JobStatus.QUEUED,,
5edf7d87b0dede00154835eb,ibmq_ourense,,,JobStatus.DONE,"{'CREATING': datetime.datetime(2020, 6, 9, 13, 16, 7, 842000, tzinfo=tzlocal()), 'CREATED': datetime.datetime(2020, 6, 9, 13, 16, 9, 249000, tzinfo=tzlocal()), 'VALIDATING': datetime.datetime(2020, 6, 9, 13, 16, 9, 290000, tzinfo=tzlocal()), 'VALIDATED': datetime.datetime(2020, 6, 9, 13, 16, 9, 786000, tzinfo=tzlocal()), 'QUEUED': datetime.datetime(2020, 6, 9, 13, 16, 9, 977000, tzinfo=tzlocal()), 'RUNNING': datetime.datetime(2020, 6, 9, 13, 18, 16, 597000, tzinfo=tzlocal()), 'COMPLETED': datetime.datetime(2020, 6, 9, 13, 18, 26, 674000, tzinfo=tzlocal())}","{'1': 986, '0': 38}"
5edf7d8c1e236100126a8c97,ibmq_london,13:18:31.668590,4,JobStatus.QUEUED,,
5edf7d94b0dede00154835ed,ibmq_essex,,,JobStatus.DONE,"{'CREATING': datetime.datetime(2020, 6, 9, 13, 16, 20, 364000, tzinfo=tzlocal()), 'CREATED': datetime.datetime(2020, 6, 9, 13, 16, 21, 955000, tzinfo=tzlocal()), 'VALIDATING': datetime.datetime(2020, 6, 9, 13, 16, 21, 983000, tzinfo=tzlocal()), 'VALIDATED': datetime.datetime(2020, 6, 9, 13, 16, 22, 591000, tzinfo=tzlocal()), 'QUEUED': datetime.datetime(2020, 6, 9, 13, 16, 22, 737000, tzinfo=tzlocal()), 'RUNNING': datetime.datetime(2020, 6, 9, 13, 18, 23, 283000, tzinfo=tzlocal()), 'COMPLETED': datetime.datetime(2020, 6, 9, 13, 18, 34, 92000, tzinfo=tzlocal())}","{'1': 947, '0': 77}"
5edf7d9d86d5bb0014ec61ec,ibmq_rome,13:18:36.098746,2,JobStatus.QUEUED,,
5edf7df2f5c34c0013850e9b,ibmqx2,13:18:38.074543,,JobStatus.RUNNING,,
5edf7dfbf5c34c0013850e9d,ibmq_burlington,,,JobStatus.DONE,"{'CREATING': datetime.datetime(2020, 6, 9, 13, 18, 3, 72000, tzinfo=tzlocal()), 'CREATED': datetime.datetime(2020, 6, 9, 13, 18, 4, 429000, tzinfo=tzlocal()), 'VALIDATING': datetime.datetime(2020, 6, 9, 13, 18, 4, 452000, tzinfo=tzlocal()), 'VALIDATED': datetime.datetime(2020, 6, 9, 13, 18, 5, 104000, tzinfo=tzlocal()), 'QUEUED': datetime.datetime(2020, 6, 9, 13, 18, 5, 486000, tzinfo=tzlocal()), 'RUNNING': datetime.datetime(2020, 6, 9, 13, 18, 8, 215000, tzinfo=tzlocal()), 'COMPLETED': datetime.datetime(2020, 6, 9, 13, 18, 19, 436000, tzinfo=tzlocal())}","{'1': 1002, '0': 22}"
5edf7dffa47c8800121e1420,ibmq_armonk,,,JobStatus.DONE,"{'CREATING': datetime.datetime(2020, 6, 9, 13, 18, 7, 920000, tzinfo=tzlocal()), 'CREATED': datetime.datetime(2020, 6, 9, 13, 18, 9, 397000, tzinfo=tzlocal()), 'VALIDATING': datetime.datetime(2020, 6, 9, 13, 18, 9, 424000, tzinfo=tzlocal()), 'VALIDATED': datetime.datetime(2020, 6, 9, 13, 18, 9, 966000, tzinfo=tzlocal()), 'QUEUED': datetime.datetime(2020, 6, 9, 13, 18, 10, 178000, tzinfo=tzlocal()), 'RUNNING': datetime.datetime(2020, 6, 9, 13, 18, 10, 585000, tzinfo=tzlocal()), 'COMPLETED': datetime.datetime(2020, 6, 9, 13, 18, 23, 751000, tzinfo=tzlocal())}","{'1': 954, '0': 70}"
5edf7e25f5c34c0013850ea2,ibmqx2,13:18:45.619763,,JobStatus.VALIDATING,,
5edf7e2aec0272001323f99e,ibmq_ourense,13:18:51.052774,,JobStatus.VALIDATING,,
5edf7e2ff5c34c0013850ea3,ibmq_burlington,13:18:55.903369,,JobStatus.VALIDATING,,
5edf7e33b0dede00154835f8,ibmq_essex,13:18:59.623306,,JobStatus.VALIDATING,,
5edf7e3653a7ae00130f26e2,ibmq_armonk,13:19:03.430038,,JobStatus.VALIDATING,,
5edf7d7ea47c8800121e1415,ibmq_16_melbourne,13:19:21.874104,4,JobStatus.QUEUED,,
5edf7d83c872b500124de5c1,ibmq_vigo,13:19:24.122576,51,JobStatus.QUEUED,,
5edf7d8c1e236100126a8c97,ibmq_london,13:19:25.958859,4,JobStatus.QUEUED,,
5edf7d9d86d5bb0014ec61ec,ibmq_rome,13:19:27.403334,2,JobStatus.QUEUED,,
