,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
241,3161,4039,1737,4484,976,5505
242,4692,3142,2964,1978,3597,1636
243,3893,4579,6735,4354,7310,2848
244,2346,5476,5650,6882,4763,6749
245,2947,4037,1689,4529,940,5515
246,4468,3087,3003,1963,3593,1624
247,3849,4669,6880,4315,7304,2775
248,2512,5478,5522,6848,4630,6679
249,2949,4049,1717,4502,978,5543
250,4107,3190,3083,2015,3690,1622
251,3926,4660,6900,4348,7296,2802
252,2771,5463,5456,6860,4592,6683
253,2813,4067,1678,4464,948,5639
254,3946,3237,3088,2051,3692,1734
255,4008,4512,6884,4306,7366,2732
256,2959,5511,5380,6853,4478,6669
257,2678,4010,1718,4574,1013,5626
258,3770,3153,3171,2048,3767,1704
259,4132,4656,6841,4376,7320,2719
260,3229,5420,5299,6746,4431,6664
261,2580,4045,1705,4457,1037,5622
262,3561,3281,3301,2057,3937,1697
263,4265,4565,6895,4283,7287,2741
264,3306,5384,5323,6812,4395,6602
265,2585,4050,1663,4489,1051,5673
266,3511,3303,3240,2011,3908,1682
267,4327,4566,6884,4299,7322,2725
268,3562,5365,5131,6796,4364,6557
269,2427,4034,1703,4516,1003,5699
270,3317,3336,3351,2091,4039,1778
271,4538,4551,6857,4340,7290,2666
272,3762,5394,5152,6757,4240,6560
273,2382,4051,1711,4494,1069,5660
274,3126,3338,3367,2201,4116,1749
275,4866,4587,6811,4317,7300,2600
276,3986,5363,5057,6742,4159,6571
277,2346,4152,1749,4451,1062,5669
278,3165,3388,3423,2174,4128,1842
279,4987,4499,6835,4286,7268,2597
280,4241,5283,5094,6742,4172,6510
281,2265,4061,1741,4474,1087,5751
282,3138,3368,3488,2171,4247,1824
283,5203,4587,6874,4387,7211,2695
284,4449,5305,4986,6606,4065,6529
285,2203,4183,1728,4537,1087,5790
286,3122,3329,3566,2195,4296,1891
287,5484,4591,6764,4321,7239,2572
288,4522,5297,4957,6646,4003,6392
289,2186,4040,1687,4484,1117,5736
290,3206,3410,3652,2201,4328,1823
291,5544,4606,6867,4358,7235,2579
292,4563,5268,4986,6632,3981,6400
293,2244,4095,1692,4498,1088,5771
294,3226,3443,3688,2172,4368,1930
295,5716,4559,6761,4360,7184,2524
296,4792,5240,4868,6612,3932,6428
297,2212,4113,1742,4515,1151,5786
298,3270,3422,3658,2229,4408,1987
299,5887,4569,6825,4325,7093,2553
