,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
0,7642,8109,8145,8133,8143,7826
1,885,598,332,713,194,524
2,7567,8062,8132,8154,8129,7812
3,904,657,335,741,212,531
4,7514,8000,8101,8106,8122,7799
5,972,725,410,703,243,561
6,7355,7943,8096,8100,8092,7742
7,1035,854,407,760,243,619
8,7261,7829,8065,8061,8049,7638
9,1109,986,392,770,314,688
10,7021,7757,8043,8027,7984,7545
11,1225,1009,458,727,365,838
12,6763,7623,8003,8050,7993,7519
13,1278,1184,452,764,407,909
14,6444,7490,7964,8002,7866,7296
15,1412,1302,526,863,497,1100
16,6215,7404,7912,8008,7811,7143
17,1516,1320,579,819,560,1260
18,5933,7277,7886,7975,7686,7031
19,1630,1450,627,843,603,1458
20,5539,7125,7857,7934,7593,6871
21,1748,1602,650,883,778,1602
22,5303,7040,7738,7949,7503,6730
23,1871,1711,773,888,864,1779
24,4888,6967,7704,7936,7392,6503
25,1931,1808,791,933,972,1914
26,4690,6819,7657,7881,7271,6345
27,2065,1900,873,897,1091,2050
28,4400,6674,7585,7865,7120,6081
29,2139,2050,944,963,1235,2305
30,4200,6644,7533,7894,7018,5896
31,2311,2177,955,986,1380,2606
32,3916,6414,7452,7877,6955,5687
33,2241,2334,1074,1004,1449,2802
34,3720,6358,7376,7837,6730,5554
35,2422,2468,1181,1010,1685,2952
36,3592,6203,7244,7776,6668,5279
37,2498,2531,1298,1073,1848,3244
38,3435,6105,7187,7787,6457,5150
39,2400,2710,1373,1069,1963,3403
40,3329,5959,7111,7785,6261,4848
41,2500,2875,1469,1074,2149,3633
42,3250,5687,6990,7766,6101,4635
43,2501,3009,1548,1110,2279,3851
44,3326,5577,6921,7695,5976,4511
45,2511,3084,1625,1112,2420,4001
46,3319,5440,6787,7694,5751,4291
47,2422,3232,1731,1167,2581,4121
48,3338,5369,6716,7679,5663,4129
49,2497,3301,1822,1237,2788,4396
50,3596,5183,6645,7629,5415,3936
51,2402,3560,1926,1192,2961,4503
