,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
157,6989,6801,5886,7597,6135,5870
158,6996,6803,5977,7675,6148,5815
159,6942,6742,5944,7657,6158,5823
160,6975,6709,6006,7653,6210,5953
161,6987,6680,6005,7655,6280,5994
162,6973,6628,5968,7639,6176,5969
163,6911,6725,6032,7669,6199,5961
164,6926,6621,5932,7656,6283,5861
165,6977,6691,5989,7595,6297,6022
166,6988,6643,5938,7594,6280,5955
167,6981,6595,5985,7612,6301,5990
168,6930,6576,6044,7605,6267,6043
169,6927,6588,6060,7613,6306,6061
170,6935,6533,6015,7606,6365,5973
171,6931,6512,6064,7626,6402,6093
172,6921,6453,6061,7613,6405,6118
173,6907,6477,6045,7585,6372,6022
174,6898,6476,6088,7596,6416,6089
175,6951,6334,6065,7633,6440,6074
176,6979,6376,6021,7587,6391,6046
177,6970,6429,6152,7599,6437,6092
178,6930,6427,6127,7594,6328,6189
179,6957,6294,6102,7558,6508,6088
180,6964,6357,6142,7540,6505,6154
181,6955,6323,6163,7582,6513,6129
182,6856,6354,6191,7538,6551,6162
183,6879,6279,6139,7532,6454,6258
184,6882,6245,6096,7555,6461,6173
185,6832,6240,6149,7510,6497,6239
186,6919,6254,6216,7537,6446,6119
187,6945,6231,6140,7552,6459,6229
188,6958,6244,6215,7502,6584,6146
189,6897,6301,6165,7518,6552,6119
190,6908,6240,6230,7511,6544,6215
191,6858,6186,6194,7464,6582,6154
192,6883,6170,6293,7468,6546,6142
193,6938,6113,6189,7544,6450,6245
194,6892,6216,6264,7508,6513,6132
195,6858,6188,6271,7497,6437,6233
196,6874,6183,6232,7476,6463,6153
197,6865,6101,6262,7471,6481,6191
198,6882,6148,6291,7488,6527,6183
199,6895,6199,6311,7504,6451,6170
200,6870,6144,6304,7516,6504,6141
201,6830,6165,6353,7469,6482,6179
202,6910,6201,6318,7483,6522,6176
203,6854,6094,6273,7440,6409,6075
204,6849,6144,6302,7455,6499,6166
205,6909,6194,6372,7529,6505,6179
206,6872,6172,6350,7467,6441,6106
207,6801,6163,6333,7461,6478,6210
208,6855,6174,6373,7458,6517,6118
209,6756,6148,6375,7474,6446,6168
210,6801,6128,6410,7459,6436,6041
