,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
143,2962,3355,1797,2318,2292,2009
144,4744,5279,6578,6355,6189,6382
145,2965,3430,1865,2340,2252,1983
146,4800,5239,6583,6416,6099,6401
147,3064,3444,1889,2379,2349,2065
148,4875,5228,6543,6423,6071,6276
149,3145,3410,1934,2522,2326,1971
150,5087,5437,4910,6319,5494,4796
151,3071,3284,3549,2474,2924,3664
152,4996,5366,4902,6215,5334,4649
153,3072,3228,3520,2580,2926,3741
154,4986,5327,4806,6216,5360,4577
155,3125,3368,3642,2567,2952,3806
156,4932,5338,4794,6260,5298,4548
157,3206,3327,3704,2569,2937,3718
158,4796,5222,4663,6262,5251,4476
159,3141,3424,3659,2570,2994,3804
160,4835,5274,4695,6200,5262,4414
161,3196,3460,3740,2609,3007,3951
162,4682,5172,4695,6101,5099,4305
163,3024,3496,3775,2637,3085,3996
164,4621,5099,4696,6148,5160,4293
165,3164,3498,3833,2672,3147,4033
166,4494,5131,4591,6187,5128,4285
167,3074,3566,3845,2689,3180,4023
168,4375,5156,4623,6094,5023,4347
169,3168,3625,3873,2707,3170,4125
170,4333,5022,4499,6110,5045,4136
171,3161,3686,3922,2748,3296,4239
172,4324,4948,4443,6106,4992,4123
173,3053,3705,3960,2736,3362,4245
174,4225,4932,4336,6007,4974,4085
175,2889,3666,3966,2797,3332,4294
176,4220,4927,4416,6001,4977,3998
177,2986,3723,4035,2863,3451,4317
178,4274,4873,4385,5989,4879,3944
179,2850,3818,4063,2890,3425,4369
180,4261,4935,4267,5994,4780,3818
181,2817,3882,4092,2938,3540,4431
182,4325,4856,4278,5974,4780,3851
183,2860,3839,4130,2824,3562,4533
184,4420,4883,4220,5956,4748,3771
185,2861,3874,4172,2834,3628,4662
186,4509,4868,4224,5937,4709,3687
187,2877,3889,4192,2938,3573,4628
188,4619,4748,4098,5925,4661,3668
189,2854,3857,4284,2913,3599,4714
190,4655,4813,4082,5888,4588,3609
191,2784,3910,4324,3007,3673,4711
192,4817,4760,4039,5949,4549,3526
193,2709,4050,4393,2873,3665,4855
194,4961,4700,4097,5887,4496,3512
195,2737,4029,4362,3010,3787,4769
196,5041,4685,4025,5811,4447,3472
197,2717,4019,4410,3005,3760,4824
198,5120,4559,4079,5863,4376,3536
199,2754,3993,4379,2980,3878,4916
200,5159,4655,3911,5875,4362,3376
201,2805,4074,4453,3002,3857,4945
202,5116,4574,3923,5768,4412,3396
203,2770,4130,4492,3071,3999,5021
204,5227,4551,3904,5794,4378,3298
205,2773,4150,4529,3066,4061,5127
206,5215,4529,3904,5768,4325,3259
207,2724,4156,4560,3022,4064,5042
208,5271,4526,3866,5757,4300,3187
209,2759,4127,4576,3050,4067,5101
210,5142,4534,3891,5816,4217,3051
211,2788,4169,4587,3115,4145,5216
212,5054,4475,3811,5678,4249,3153
213,2909,4155,4632,3083,4093,5264
214,4867,4434,3840,5721,4187,3053
215,2881,4202,4595,3078,4121,5152
216,4759,4370,3793,5728,4147,3047
217,2941,4301,4597,3097,4116,5328
218,4596,4374,3707,5681,3985,2975
219,2997,4248,4683,3095,4187,5353
220,4532,4422,3675,5622,4053,2925
221,3023,4349,4715,3066,4226,5350
222,4247,4375,3685,5655,4032,2889
223,3150,4314,4665,3097,4235,5405
224,4064,4273,3679,5627,3995,2880
225,3224,3079,4631,3127,6443,5122
226,3830,5573,3783,5638,2000,2537
227,3388,3124,4635,3282,6387,5192
228,3655,5576,3674,5528,1880,2504
229,3466,3017,4633,3204,6332,5286
230,3680,5573,3727,5523,1922,2494
231,3581,3114,4672,3286,6347,5333
232,3427,5576,3685,5616,1920,2453
233,3710,3142,4686,3357,6378,5355
234,3411,5616,3684,5479,1834,2400
235,3872,3080,4821,3302,6393,5388
236,3297,5531,3682,5464,1945,2318
237,3980,3038,4682,3321,6356,5406
238,3148,5600,3610,5496,1835,2338
239,4227,3120,4833,3366,6450,5444
240,3097,5548,3613,5430,1898,2272
241,4346,3189,4841,3379,6438,5444
242,3165,5532,3532,5431,1871,2250
243,4425,3099,4760,3291,6377,5442
244,2997,5522,3538,5441,1858,2263
245,4630,3085,4777,3456,6441,5491
246,3046,5484,3566,5384,1919,2257
247,4694,3162,4876,3423,6449,5505
248,3050,5460,3567,5398,1844,2155
249,4804,3244,4876,3481,6400,5597
250,3059,5471,3518,5372,1795,2129
251,4734,3177,4941,3457,6511,5615
252,3083,5451,3454,5431,1893,2113
253,4905,3290,4986,3461,6465,5581
254,3041,5428,3475,5290,1844,2121
255,4906,3293,4956,3509,6404,5647
256,2920,5399,3541,5314,1856,2097
257,4813,3262,4957,3463,6469,5609
258,3023,5349,3524,5288,1908,2040
259,4802,3224,4936,3609,6401,5660
260,2988,5404,3440,5320,1915,2077
261,4799,3252,4971,3551,6502,5729
262,3080,5427,3504,5200,1825,1982
263,4768,3267,4949,3592,6486,5750
264,3082,5349,3425,5242,1913,1985
265,4704,3326,4995,3692,6408,5822
266,3006,5377,3494,5309,1923,2023
267,4494,3297,5011,3630,6407,5775
268,2996,5330,3402,5222,1859,1954
269,4403,3269,5004,3606,6351,5783
270,2982,5341,3419,5171,1853,1991
271,4334,3293,5012,3608,6337,5758
272,2964,5342,3280,5115,1937,1890
273,4397,3279,5046,3717,6361,5861
274,3047,5381,3373,5071,1955,1924
275,4264,3338,5039,3730,6263,5889
276,2986,5275,3281,5173,1998,1867
277,4198,3349,5065,3686,6311,5874
278,3074,5365,3285,5088,1933,1888
279,4164,3333,5183,3737,6292,5824
280,3085,5319,3399,5045,2045,1811
281,4083,3354,5086,3660,6284,5895
282,3148,5327,3325,5128,1957,1872
283,4209,3329,5118,3787,6270,5865
284,3083,5329,3211,5022,2031,1823
285,4120,3350,5172,3814,6221,5926
286,3089,5287,3265,5025,2010,1837
287,4128,3402,5180,3776,6236,5902
288,3167,5288,3233,5036,1994,1791
289,4155,3294,5124,3832,6261,5957
290,3178,5239,3264,5032,2036,1816
291,4169,3391,5192,3825,6148,5933
292,3244,5254,3288,5038,2070,1871
293,4223,3364,5127,3892,6185,5912
294,3302,5173,3287,4957,2058,1774
295,4294,3383,5148,3810,6128,5952
296,3332,5240,3258,5053,2111,1892
297,4212,3400,5206,3807,6184,5958
298,3374,5239,3255,4888,2117,1771
299,4280,3387,5272,3885,6180,6004
