,backend,prop_quality,prop_name,prop_value,prop_time
76,ibmqx2,worst,id_error,0.0017319091162577576,2020-06-29 08:30:44+00:00
77,ibmqx2,mean,id_error,0.0008110841490630184,2020-06-29 08:26:53+00:00
78,ibmqx2,best,cx_error,0.01466249504917333,2020-06-29 08:36:43+00:00
79,ibmqx2,worst,cx_error,0.02113063117624045,2020-06-29 08:56:57+00:00
80,ibmqx2,mean,cx_error,0.01748499586433357,2020-06-29 08:36:43+00:00
81,ibmqx2,best,T1,49.1270547592117,2020-06-29 08:23:42+00:00
82,ibmqx2,worst,T1,61.10236061846367,2020-06-29 08:23:42+00:00
83,ibmqx2,mean,T1,54.836255368591004,2020-06-29 08:23:42+00:00
84,ibmqx2,best,T2,42.11812616979956,2020-06-29 08:26:21+00:00
85,ibmqx2,worst,T2,75.60443400197171,2020-06-29 08:24:34+00:00
86,ibmqx2,mean,T2,57.633545538991086,2020-06-29 08:24:34+00:00
87,ibmqx2,best,readout_error,0.015000000000000013,2020-06-29 08:23:20+00:00
88,ibmqx2,worst,readout_error,0.243,2020-06-28 08:19:42+00:00
89,ibmqx2,mean,readout_error,0.06390000000000003,2020-06-29 08:23:20+00:00
90,ibmqx2,best,id_error,0.0003902884929659058,2020-06-28 08:28:36+00:00
91,ibmqx2,worst,id_error,0.0026431371327471143,2020-06-28 08:27:19+00:00
92,ibmqx2,mean,id_error,0.0010087365148870099,2020-06-28 08:23:04+00:00
93,ibmqx2,best,cx_error,0.013976809470469476,2020-06-28 08:55:43+00:00
94,ibmqx2,worst,cx_error,0.020235593836796295,2020-06-28 08:41:22+00:00
95,ibmqx2,mean,cx_error,0.016713841888701453,2020-06-28 08:32:22+00:00
96,ibmqx2,best,T1,50.902217091167785,2020-06-27 08:20:22+00:00
97,ibmqx2,worst,T1,71.26294999762332,2020-06-28 08:19:58+00:00
98,ibmqx2,mean,T1,60.62458588984936,2020-06-28 08:19:58+00:00
99,ibmqx2,best,T2,19.68600696966007,2020-06-28 08:20:57+00:00
100,ibmqx2,worst,T2,71.86763923989233,2020-06-28 08:22:03+00:00
101,ibmqx2,mean,T2,53.23888218633242,2020-06-28 08:20:57+00:00
102,ibmqx2,best,readout_error,0.015000000000000013,2020-06-28 08:19:42+00:00
103,ibmqx2,worst,readout_error,0.243,2020-06-28 08:19:42+00:00
104,ibmqx2,mean,readout_error,0.06700000000000002,2020-06-28 08:19:42+00:00
