backend,qubit,datetime,name,units,value,log_datetime
ibmq_16_melbourne,2,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.04300000000000004,2020-06-18T16:33:04.690429
ibmq_16_melbourne,2,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.006,2020-06-18T16:33:04.690429
ibmq_16_melbourne,2,2020-06-18T08:09:35+00:00,id_length,ns,53.33333333333333,2020-06-18T16:33:04.690429
ibmq_16_melbourne,3,2020-06-18T06:34:14+00:00,T1,탎,66.30172157924352,2020-06-18T16:33:04.690429
ibmq_16_melbourne,3,2020-06-18T06:37:34+00:00,T2,탎,63.877518294865695,2020-06-18T16:33:04.690429
ibmq_16_melbourne,3,2020-06-18T08:09:35+00:00,frequency,GHz,4.896091700403671,2020-06-18T16:33:04.690429
ibmq_16_melbourne,3,2020-06-18T06:33:09+00:00,readout_error,,0.04499999999999993,2020-06-18T16:33:04.690429
ibmq_16_melbourne,3,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.07899999999999996,2020-06-18T16:33:04.690429
ibmq_16_melbourne,3,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.011,2020-06-18T16:33:04.690429
ibmq_16_melbourne,3,2020-06-18T08:09:35+00:00,id_length,ns,53.33333333333333,2020-06-18T16:33:04.690429
ibmq_16_melbourne,4,2020-06-18T06:34:14+00:00,T1,탎,66.64294719591355,2020-06-18T16:33:04.690429
ibmq_16_melbourne,4,2020-06-18T06:36:06+00:00,T2,탎,30.976128286788697,2020-06-18T16:33:04.690429
ibmq_16_melbourne,4,2020-06-18T08:09:35+00:00,frequency,GHz,5.026220565871599,2020-06-18T16:33:04.690429
ibmq_16_melbourne,4,2020-06-18T06:33:09+00:00,readout_error,,0.021500000000000075,2020-06-18T16:33:04.690429
ibmq_16_melbourne,4,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.036,2020-06-18T16:33:04.690429
ibmq_16_melbourne,4,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.007000000000000006,2020-06-18T16:33:04.690429
ibmq_16_melbourne,4,2020-06-18T08:09:35+00:00,id_length,ns,53.33333333333333,2020-06-18T16:33:04.690429
ibmq_16_melbourne,5,2020-06-18T06:34:14+00:00,T1,탎,15.100281156951027,2020-06-18T16:33:04.690429
ibmq_16_melbourne,5,2020-06-18T06:37:34+00:00,T2,탎,26.6292632573322,2020-06-18T16:33:04.690429
ibmq_16_melbourne,5,2020-06-18T08:09:35+00:00,frequency,GHz,5.066779539066642,2020-06-18T16:33:04.690429
ibmq_16_melbourne,5,2020-06-18T06:33:09+00:00,readout_error,,0.11150000000000004,2020-06-18T16:33:04.690429
ibmq_16_melbourne,5,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.18300000000000005,2020-06-18T16:33:04.690429
ibmq_16_melbourne,5,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.04,2020-06-18T16:33:04.690429
ibmq_16_melbourne,5,2020-06-18T08:09:35+00:00,id_length,ns,142.22222222222223,2020-06-18T16:33:04.690429
ibmq_16_melbourne,6,2020-06-17T06:42:12+00:00,T1,탎,68.22783543451423,2020-06-18T16:33:04.690429
ibmq_16_melbourne,6,2020-06-18T06:36:06+00:00,T2,탎,68.13295418101598,2020-06-18T16:33:04.690429
ibmq_16_melbourne,6,2020-06-18T08:09:35+00:00,frequency,GHz,4.924045220101293,2020-06-18T16:33:04.690429
ibmq_16_melbourne,6,2020-06-18T06:33:09+00:00,readout_error,,0.027000000000000024,2020-06-18T16:33:04.690429
ibmq_16_melbourne,6,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.04700000000000004,2020-06-18T16:33:04.690429
ibmq_16_melbourne,6,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.007,2020-06-18T16:33:04.690429
ibmq_16_melbourne,6,2020-06-18T08:09:35+00:00,id_length,ns,142.22222222222223,2020-06-18T16:33:04.690429
ibmq_16_melbourne,7,2020-06-18T06:34:14+00:00,T1,탎,31.32078425386604,2020-06-18T16:33:04.690429
ibmq_16_melbourne,7,2020-06-18T06:36:06+00:00,T2,탎,35.33751928881578,2020-06-18T16:33:04.690429
ibmq_16_melbourne,7,2020-06-18T08:09:35+00:00,frequency,GHz,4.974504699865941,2020-06-18T16:33:04.690429
ibmq_16_melbourne,7,2020-06-18T06:33:09+00:00,readout_error,,0.07699999999999996,2020-06-18T16:33:04.690429
ibmq_16_melbourne,7,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.135,2020-06-18T16:33:04.690429
ibmq_16_melbourne,7,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.019,2020-06-18T16:33:04.690429
ibmq_16_melbourne,7,2020-06-18T08:09:35+00:00,id_length,ns,142.22222222222223,2020-06-18T16:33:04.690429
ibmq_16_melbourne,8,2020-06-18T06:34:14+00:00,T1,탎,27.412723658458447,2020-06-18T16:33:04.690429
ibmq_16_melbourne,8,2020-06-18T06:37:34+00:00,T2,탎,59.58961581874601,2020-06-18T16:33:04.690429
ibmq_16_melbourne,8,2020-06-18T08:09:35+00:00,frequency,GHz,4.740676753623836,2020-06-18T16:33:04.690429
ibmq_16_melbourne,8,2020-06-18T06:33:09+00:00,readout_error,,0.3035,2020-06-18T16:33:04.690429
ibmq_16_melbourne,8,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.348,2020-06-18T16:33:04.690429
ibmq_16_melbourne,8,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.259,2020-06-18T16:33:04.690429
ibmq_16_melbourne,8,2020-06-18T08:09:35+00:00,id_length,ns,53.33333333333333,2020-06-18T16:33:04.690429
ibmq_16_melbourne,9,2020-06-18T06:34:14+00:00,T1,탎,43.4700132598588,2020-06-18T16:33:04.690429
ibmq_16_melbourne,9,2020-06-18T06:36:06+00:00,T2,탎,79.37126235510475,2020-06-18T16:33:04.690429
ibmq_16_melbourne,9,2020-06-18T08:09:35+00:00,frequency,GHz,4.963283839749417,2020-06-18T16:33:04.690429
ibmq_16_melbourne,9,2020-06-18T06:33:09+00:00,readout_error,,0.05499999999999994,2020-06-18T16:33:04.690429
ibmq_16_melbourne,9,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.083,2020-06-18T16:33:04.690429
ibmq_16_melbourne,9,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.027000000000000024,2020-06-18T16:33:04.690429
ibmq_16_melbourne,9,2020-06-18T08:09:35+00:00,id_length,ns,142.22222222222223,2020-06-18T16:33:04.690429
ibmq_16_melbourne,10,2020-06-18T06:34:14+00:00,T1,탎,61.488136802392,2020-06-18T16:33:04.690429
ibmq_16_melbourne,10,2020-06-18T06:37:34+00:00,T2,탎,48.71842011666157,2020-06-18T16:33:04.690429
ibmq_16_melbourne,10,2020-06-18T08:09:35+00:00,frequency,GHz,4.945211289188196,2020-06-18T16:33:04.690429
ibmq_16_melbourne,10,2020-06-18T06:33:09+00:00,readout_error,,0.031000000000000028,2020-06-18T16:33:04.690429
ibmq_16_melbourne,10,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.05900000000000005,2020-06-18T16:33:04.690429
ibmq_16_melbourne,10,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.003,2020-06-18T16:33:04.690429
ibmq_16_melbourne,10,2020-06-18T08:09:35+00:00,id_length,ns,142.22222222222223,2020-06-18T16:33:04.690429
ibmq_16_melbourne,11,2020-06-06T06:32:00+00:00,T1,탎,63.9934562581064,2020-06-18T16:33:04.690429
ibmq_16_melbourne,11,2020-06-18T06:36:06+00:00,T2,탎,105.9651673835109,2020-06-18T16:33:04.690429
ibmq_16_melbourne,11,2020-06-18T08:09:35+00:00,frequency,GHz,5.004969974560942,2020-06-18T16:33:04.690429
ibmq_16_melbourne,11,2020-06-18T06:33:09+00:00,readout_error,,0.035499999999999976,2020-06-18T16:33:04.690429
ibmq_16_melbourne,11,2020-06-18T06:33:09+00:00,prob_meas0_prep1,,0.06499999999999995,2020-06-18T16:33:04.690429
ibmq_16_melbourne,11,2020-06-18T06:33:09+00:00,prob_meas1_prep0,,0.006,2020-06-18T16:33:04.690429
ibmq_16_melbourne,11,2020-06-18T08:09:35+00:00,id_length,ns,53.33333333333333,2020-06-18T16:33:04.690429
ibmq_16_melbourne,12,2020-06-18T06:34:14+00:00,T1,탎,97.35552364442515,2020-06-18T16:33:04.690429
