num_complete_revolutions,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
5,6979,7928,8053,8061,8069,7224,7952,7476,8065,8025
10,5659,7778,7894,8022,7888,6496,7862,7419,7964,7884
15,4396,7573,7648,7963,7684,5475,7761,7314,7837,7673
20,3877,7280,7363,7870,7398,4487,7594,7230,7680,7389
25,4193,6886,7097,7814,7048,3666,7456,7087,7452,7011
30,5142,6494,6850,7747,6714,3120,7203,7046,7234,6639
35,5927,6054,6384,7657,6228,2894,6948,6821,6949,6335
40,6146,5599,6006,7537,5823,3027,6712,6777,6781,5920
45,5769,5139,5434,7457,5388,3339,6292,6580,6502,5453
50,5015,4569,4961,7377,4981,3644,5937,6411,6279,5086
55,4355,4181,4524,7313,4464,3939,5650,6231,5992,4625
60,4135,3794,4082,7102,4030,3971,5158,6027,5797,4204
65,4245,3395,3737,7052,3804,4039,4725,5941,5546,3757
70,4659,3015,3424,6943,3490,3943,4305,5684,5382,3379
75,4942,2806,3051,6860,3240,3905,3814,5500,5082,3031
