,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
154,4827,3295,1973,5874,3246
155,2207,4964,6477,2813,5714
156,4751,3279,1976,5839,3253
157,2267,4976,6556,2775,5611
158,4923,3212,1955,5824,3414
159,2140,5009,6489,2899,5435
160,5008,3274,1934,5690,3511
161,2234,5036,6506,2976,5427
162,5097,3196,2024,5745,3522
163,2157,4975,6518,3007,5395
164,5157,3135,2015,5698,3555
165,2175,5079,6465,3056,5261
166,5078,3181,1958,5585,3640
167,2115,5091,6545,3037,5204
168,5089,3205,2056,5559,3768
169,2189,5074,6462,3096,5208
170,5112,3133,2048,5582,3773
171,2194,5117,6423,3086,5051
172,5084,3188,2084,5504,3896
173,2170,5183,6355,3209,5087
174,5133,3143,2123,5550,3934
175,2189,5179,6398,3128,4965
176,5097,3105,2139,5478,3944
177,2253,5143,6384,3236,4951
178,5007,3084,2207,5371,4009
179,2202,5108,6328,3290,4925
180,4953,3135,2262,5342,4030
181,2159,5140,6207,3394,4816
182,4768,3098,2296,5358,4145
183,2232,5094,6219,3431,4807
184,4759,2993,2312,5341,4167
185,2258,5142,6155,3444,4722
186,4746,3107,2461,5206,4232
187,2272,5211,6130,3461,4699
188,4600,3083,2390,5264,4245
189,2427,5138,6056,3463,4595
190,4588,3082,2492,5165,4339
191,2328,5174,6127,3495,4536
192,4550,3107,2458,5148,4377
193,2347,5073,5971,3574,4427
194,4451,3116,2559,5118,4458
195,2351,5079,5978,3662,4454
196,4362,3196,2599,5106,4520
197,2353,5127,5923,3618,4344
198,4364,3184,2703,5073,4495
199,2350,5122,5831,3691,4304
200,4291,3177,2630,5010,4585
201,2364,5075,5769,3775,4297
202,4130,3106,2758,4934,4578
203,2487,5098,5705,3714,4198
204,4044,3139,2857,4892,4685
205,2488,5086,5629,3749,4160
206,4086,3186,2949,4920,4663
207,2520,5038,5620,3811,4130
208,4063,3174,2908,4875,4762
209,2521,5064,5589,3881,4182
210,4079,3137,2951,4829,4780
211,2529,5024,5522,3945,4066
212,4027,3149,3063,4847,4716
213,2457,5059,5400,3867,4043
214,4117,3240,3095,4623,4820
215,2541,5002,5341,4008,4070
216,3947,3248,3214,4641,4908
217,2475,4986,5267,4010,4041
218,3977,3294,3188,4599,4786
219,2538,4923,5215,4110,4047
220,3958,3334,3267,4606,4901
221,2511,4900,5089,4067,3996
222,4065,3238,3326,4547,4895
223,2600,4945,5079,4290,3987
224,4136,3393,3422,4525,4863
225,2608,5030,5612,4200,4036
226,4078,3247,2895,4288,4904
227,2527,5022,5512,4280,3942
228,4189,3234,3020,4386,4932
229,2592,4990,5520,4288,3965
230,4215,3324,3097,4329,4962
231,2602,5005,5373,4340,3953
232,4198,3278,3217,4233,4976
233,2535,4963,5273,4408,3924
234,4169,3313,3289,4203,4986
235,2629,4952,5199,4405,3964
236,4269,3379,3288,4222,4963
237,2664,4850,5140,4459,4014
238,4138,3393,3503,4195,5031
239,2557,4781,5005,4511,3891
240,4245,3335,3588,4134,5052
241,2602,4884,4963,4570,3911
242,4268,3389,3705,4103,4970
243,2523,4811,4807,4605,3906
244,4364,3495,3784,4043,4934
245,2547,4805,4759,4655,4033
246,4293,3451,3759,4042,4858
247,2543,4726,4672,4701,4026
248,4346,3519,3958,3999,4916
249,2506,4644,4529,4694,3991
250,4308,3518,4038,3952,4937
251,2573,4682,4456,4703,3987
252,4378,3574,4147,3893,4933
253,2505,4586,4294,4708,3924
254,4242,3612,4227,3891,4939
255,2538,4551,4300,4785,4007
256,4285,3686,4347,3797,5005
257,2563,4474,4176,4757,3997
258,4315,3780,4402,3855,4904
259,2622,4440,4065,4798,4078
260,4317,3731,4544,3764,4913
261,2536,4483,3982,4924,4068
262,4284,3785,4589,3783,4824
263,2593,4483,3890,4897,3995
264,4238,3809,4665,3722,4785
265,2555,4374,3788,4998,4041
266,4258,3828,4794,3691,4891
267,2607,4354,3817,5016,4087
268,4187,3827,4822,3701,4729
269,2540,4377,3648,4950,4099
270,4224,3899,4949,3597,4800
271,2583,4379,3536,5034,4141
272,4128,3907,4991,3575,4861
273,2637,4335,3485,5102,4123
274,4121,3947,5044,3651,4783
275,2547,4254,3462,5202,4139
276,4111,3991,5113,3554,4612
277,2622,4241,3236,5036,4182
278,4105,3843,5253,3493,4745
279,2644,4298,3185,5269,4201
280,4145,3949,5330,3529,4710
281,2751,4234,3133,5291,4226
282,4105,4004,5418,3449,4649
283,2629,4240,3069,5266,4294
284,4090,4025,5493,3495,4622
285,2602,4091,3005,5206,4270
286,4035,4104,5576,3360,4617
287,2631,4166,2925,5260,4321
288,4089,4063,5610,3329,4665
289,2674,4037,2862,5276,4292
290,4050,4138,5733,3276,4627
291,2669,4036,2845,5369,4298
292,3989,4174,5776,3300,4594
293,2671,3990,2841,5306,4367
294,3956,4164,5758,3209,4549
295,2617,4048,2658,5332,4395
296,4034,4189,5991,3244,4601
297,2665,4002,2605,5476,4381
298,4054,4229,6021,3186,4567
299,2625,3951,2549,5385,4431
