,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
0,7698,8043,8144,8151,8154
1,823,215,397,551,806
2,7628,7997,8130,8121,8127
3,867,237,384,567,824
4,7551,8042,8098,8090,8116
5,935,248,429,594,846
6,7471,7974,8056,8073,8086
7,1003,293,495,559,851
8,7224,7973,8051,8088,8039
9,1055,295,514,515,915
10,7022,7935,8044,8063,8017
11,1157,315,462,570,997
12,6794,7926,7956,8050,7936
13,1164,361,610,592,1073
14,6569,7859,7928,8046,7828
15,1297,445,620,588,1142
16,6263,7831,7865,8013,7803
17,1470,443,649,703,1218
18,5968,7792,7795,8013,7693
19,1608,496,748,613,1249
20,5725,7768,7765,7976,7566
21,1666,544,830,666,1400
22,5418,7747,7731,7978,7467
23,1840,565,864,664,1502
24,5064,7663,7651,7970,7420
25,1935,641,962,696,1640
26,4744,7621,7531,7935,7252
27,2015,668,1061,749,1694
28,4433,7501,7465,7920,7119
29,2174,757,1138,731,1814
30,4297,7524,7433,7926,7008
31,2250,831,1263,737,2016
32,4060,7402,7305,7893,6833
33,2278,846,1270,764,2128
34,3845,7319,7224,7846,6772
35,2310,946,1337,762,2202
36,3666,7253,7133,7842,6595
37,2356,1092,1517,870,2332
38,3559,7186,7059,7843,6437
39,2473,1110,1577,858,2521
40,3496,7123,6956,7802,6318
41,2516,1116,1641,847,2662
42,3395,7053,6824,7752,6156
43,2516,1258,1763,887,2801
44,3415,6997,6798,7758,5900
45,2504,1229,1922,938,2930
46,3377,6866,6549,7726,5865
47,2426,1381,1912,900,3171
48,3526,6786,6429,7683,5647
49,2368,1476,2095,962,3295
50,3543,6725,6393,7725,5463
51,2440,1508,2189,1061,3473
52,3763,6643,6286,7662,5369
53,2321,1691,2325,988,3661
54,3858,6522,6207,7640,5113
55,2367,1745,2382,1029,3785
56,4101,6394,6159,7599,4912
57,2274,1810,2499,1051,4104
58,4242,6335,5984,7581,4829
59,2210,1939,2686,1018,4120
60,4538,6281,5801,7553,4687
61,2184,2069,2704,1115,4368
62,4797,6094,5751,7477,4523
63,2095,2147,2865,1098,4468
64,4974,6079,5712,7539,4395
65,1887,2261,3009,1218,4598
66,5184,5947,5566,7493,4230
67,1895,2328,3007,1146,4722
68,5332,5909,5375,7438,4037
69,1852,2446,3170,1218,4930
70,5469,5748,5247,7364,3870
71,1786,2542,3398,1276,5034
72,5689,5710,5091,7322,3820
73,1803,2679,3498,1267,5132
74,5875,5540,5041,7341,3822
75,1748,2762,3604,1354,5066
76,6049,5437,4850,7356,3817
77,1621,2822,3618,1388,5198
78,6227,5429,4628,7247,3730
79,1607,2904,3896,1426,5334
80,6194,5390,4650,7211,3630
81,1631,3033,3954,1437,5298
82,6177,5215,4466,7166,3467
83,1582,3120,4089,1439,5457
84,6275,5148,4326,7181,3470
85,1637,3279,4199,1500,5529
86,6291,4960,4295,7167,3295
87,1566,3351,4297,1554,5694
88,6215,4931,4127,7080,3154
89,1584,3523,4430,1566,5727
90,6175,4714,3994,7107,3169
91,1642,3591,4565,1658,5876
92,6070,4654,3804,6978,3034
93,1673,3630,4653,1624,5910
94,5885,4598,3738,7001,2948
95,1705,3781,4817,1684,5969
96,5671,4501,3642,6931,2899
97,1762,3894,4913,1720,5993
98,5561,4358,3587,6902,2875
99,1786,3980,5021,1731,6049
100,5442,4199,3474,6896,2793
101,1868,4080,5082,1791,6143
102,5264,4153,3372,6831,2681
103,1881,4173,5145,1852,6187
104,5002,4088,3329,6840,2706
105,2045,4311,5251,1847,6199
106,4872,3971,3182,6754,2700
107,2009,4342,5473,1917,6225
108,4697,3866,3072,6764,2618
109,2059,4428,5486,1859,6291
110,4484,3862,2936,6691,2599
111,2120,4566,5481,1965,6336
112,4377,3674,2894,6698,2560
113,2314,4695,5560,2027,6373
114,4224,3684,2892,6529,2572
115,2279,4687,5678,2065,6376
116,4116,3476,2768,6575,2559
117,2388,4768,5723,2050,6324
118,3901,3433,2630,6601,2547
119,2400,4843,5943,2080,6358
120,3831,3349,2602,6527,2608
121,2363,4970,5952,2196,6356
122,3762,3232,2483,6506,2547
123,2379,5109,6020,2189,6297
124,3656,3177,2414,6436,2633
125,2547,5109,6115,2284,6327
126,3714,3128,2326,6437,2464
127,2447,5233,6188,2183,6314
128,3647,3081,2374,6344,2600
129,2453,5314,6209,2253,6220
130,3595,3009,2236,6371,2575
131,2543,5364,6195,2401,6201
132,3617,2926,2197,6269,2599
133,2589,5424,6313,2412,6250
134,3721,2881,2228,6193,2695
135,2459,5546,6231,2486,6198
136,3920,2814,2107,6179,2725
137,2439,5621,6382,2524,6135
138,3888,2653,2161,6177,2734
139,2468,5643,6397,2482,6069
140,4033,2569,2001,6096,2885
141,2469,5740,6467,2597,5980
142,4119,2582,2020,6138,2871
143,2406,5695,6466,2611,5973
144,4256,2527,1984,6012,2975
145,2364,5796,6504,2667,5941
146,4302,2497,1990,5953,3054
147,2365,5838,6557,2713,5889
148,4426,2445,1924,6034,3080
149,2418,5838,6540,2711,5799
150,4539,3433,1970,5954,3260
151,2209,4910,6593,2757,5759
152,4654,3427,1945,5924,3131
153,2243,4957,6568,2859,5608
