,"xgate u3(pi,0,pi)","rx(pi) u3(pi,-pi/2,pi/2)","rx(pi/2) u2(-pi/2, pi/2)",,
271,,,5337,,
272,,,5862,,
273,,,2885,,
274,,,2333,,
275,,,5317,,
276,,,5797,,
277,,,2865,,
278,,,2325,,
279,,,5321,,
280,,,5841,,
281,,,2855,,
282,,,2371,,
283,,,5303,,
284,,,5828,,
285,,,2932,,
286,,,2446,,
287,,,5282,,
288,,,5843,,
289,,,2870,,
290,,,2431,,
291,,,5185,,
292,,,5762,,
293,,,2884,,
294,,,2419,,
295,,,5218,,
296,,,5751,,
297,,,2898,,
298,,,2485,,
299,,,5281,,
300,,,5713,,
