,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
244,4647,5964,6427,4087,6765
245,4267,6327,6176,7107,5455
246,2228,2353,2095,4543,2153
247,2582,1894,2244,1587,3496
248,4816,5896,6454,4053,6731
249,4507,6369,6179,7104,5442
250,2361,2402,2121,4699,2247
251,2564,1824,2294,1555,3512
252,4780,5790,6321,3920,6675
253,4876,6347,6140,7054,5452
254,2498,2424,2146,4833,2217
255,2337,1860,2321,1715,3454
256,4740,5779,6267,3826,6731
257,4994,6505,6132,7007,5481
258,2689,2516,2232,4867,2283
259,2171,1854,2259,1654,3429
260,4756,5818,6272,3769,6716
261,5390,6420,6201,6953,5594
262,2848,2540,2208,4951,2346
263,2102,1911,2219,1729,3397
264,4760,5720,6249,3742,6608
265,5654,6409,6180,6899,5570
266,3047,2567,2301,4975,2347
267,2101,1847,2291,1738,3339
268,4697,5615,6184,3620,6599
269,5808,6498,6231,6908,5548
270,3218,2722,2290,5067,2324
271,1980,1777,2218,1839,3439
272,4683,5499,6171,3551,6537
273,5948,6485,6200,6823,5505
274,3304,2697,2334,5179,2450
275,1908,1796,2231,1867,3398
276,4594,5500,6241,3545,6487
277,6011,6425,6203,6935,5546
278,3429,2714,2299,5219,2442
279,1904,1808,2302,1889,3413
280,4592,5514,6138,3425,6498
281,6091,6447,6196,6791,5502
282,3568,2823,2383,5275,2505
283,1904,1800,2242,1956,3427
284,4432,5428,6049,3397,6437
285,6177,6458,6150,6696,5532
286,3707,2776,2433,5325,2583
287,1923,1833,2275,2009,3421
288,4289,5494,5961,3329,6379
289,6075,6464,6282,6684,5607
290,3782,2927,2493,5366,2572
291,1934,1856,2260,1975,3271
292,4147,5360,5914,3303,6433
293,5920,6458,6268,6661,5558
294,3924,2884,2507,5445,2515
295,1939,1823,2262,2091,3275
296,3918,5263,5899,3257,6452
297,5793,6467,6207,6583,5638
298,3948,3065,2560,5450,2670
299,2037,1820,2209,2099,3308
