,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
167,4405,5282,4444,5726,2508
168,2646,2907,4051,2964,6391
169,4571,5454,4492,5866,2456
170,2613,2875,4018,2796,6390
171,4639,5435,4529,5830,2569
172,2557,2838,3951,2823,6372
173,4894,5440,4518,5904,2517
174,2435,2757,3885,2798,6265
175,4942,5511,4568,5886,2599
176,2407,2702,3858,2749,6309
177,5104,5544,4645,5964,2698
178,2364,2695,3816,2653,6293
179,5312,5592,4734,6006,2687
180,2354,2639,3800,2618,6240
181,5287,5586,4747,6011,2734
182,2446,2666,3787,2605,6274
183,5475,5579,4836,6075,2692
184,2425,2657,3721,2522,6243
185,5425,5586,4827,6120,2712
186,2517,2600,3664,2615,6154
187,5429,5645,4954,6140,2740
188,2518,2568,3620,2478,6195
189,5395,5675,4982,6136,2804
190,2524,2601,3584,2471,6039
191,5438,5742,5025,6209,2744
192,2612,2538,3487,2438,6059
193,5277,5727,5010,6219,2808
194,2700,2465,3522,2379,6046
195,5199,5757,5083,6291,2849
196,2808,2526,3472,2388,6055
197,5045,5769,5137,6339,2794
198,2831,2512,3432,2352,6015
199,4827,5741,5167,6376,2790
200,2857,2405,3351,2380,6028
201,4653,5831,5132,6297,2875
202,3067,2489,3366,2240,6000
203,4469,5760,5176,6371,2940
204,3205,2428,3314,2305,5951
205,4331,5782,5240,6401,2918
206,3395,2401,3289,2263,5850
207,4024,5854,5291,6418,2991
208,3532,2421,3326,2242,5873
209,3816,5862,5344,6458,3031
210,3640,2456,3157,2208,5976
211,3669,5833,5331,6385,3033
212,3798,2374,3146,2168,5924
213,3510,5823,5383,6451,2983
214,4011,2447,3117,2164,5904
215,3266,5896,5427,6455,3118
216,4139,2474,3080,2215,5849
217,3196,5856,5399,6501,3132
218,4371,2433,3068,2172,5825
219,2991,5858,5472,6441,3129
220,4603,2443,3048,2117,5790
221,2815,5753,5375,6504,3240
222,4692,2417,3047,2206,5763
223,2814,5869,5515,6522,3209
224,4819,2392,3055,2137,5726
225,2963,4764,4772,6457,3266
226,4747,3537,3683,2118,5657
227,2814,4764,4787,6562,3344
228,4934,3422,3731,2128,5608
229,2793,4818,4731,6494,3475
230,5100,3367,3713,2136,5599
231,2671,4867,4939,6474,3403
232,5168,3352,3768,2192,5553
233,2707,4877,4842,6485,3458
234,5173,3363,3697,2121,5601
235,2609,4892,4892,6562,3416
236,5234,3365,3741,2143,5517
237,2643,4948,4878,6511,3475
238,5348,3329,3594,2187,5441
239,2653,4951,4899,6419,3429
240,5273,3207,3557,2244,5487
241,2614,4920,4980,6485,3432
242,5211,3228,3589,2229,5400
243,2678,4934,4957,6420,3456
244,5185,3251,3541,2238,5386
245,2707,4983,4938,6400,3503
246,5135,3310,3606,2265,5351
247,2704,5024,4971,6380,3494
248,5026,3242,3544,2244,5375
249,2770,5039,5060,6351,3513
250,4897,3176,3499,2302,5355
251,2772,5025,5053,6296,3604
252,4708,3223,3482,2292,5340
253,2879,5046,5068,6262,3656
254,4571,3112,3479,2303,5260
255,2961,5084,5054,6204,3655
256,4545,3200,3486,2328,5220
257,2955,5134,5143,6188,3708
258,4411,3142,3445,2387,5187
259,3023,5109,5079,6254,3715
260,4202,3094,3389,2445,5256
261,3200,5110,5072,6181,3806
262,4134,3175,3404,2503,5246
263,3331,5052,5112,6086,3719
264,3953,3102,3299,2507,5179
265,3488,5117,5044,6073,3816
266,3871,3164,3445,2507,5134
267,3584,5103,5119,6056,3738
268,3771,3020,3424,2566,5166
269,3812,5157,5207,6065,3835
270,3700,3090,3346,2525,5074
271,3937,5209,5147,6091,3799
272,3569,3043,3310,2628,5122
273,4015,5205,5067,5984,3809
274,3649,3103,3344,2627,5125
275,4141,5119,5145,5847,3772
276,3531,2999,3404,2876,5057
277,4313,5268,5187,5871,3831
278,3552,3004,3373,2803,5013
279,4352,5209,5200,5822,3809
280,3426,3000,3298,2874,4997
281,4482,5116,5215,5839,3863
282,3403,3116,3358,2882,4992
283,4534,5221,5116,5795,3918
284,3369,2940,3355,2926,4961
285,4545,5232,5137,5666,3968
286,3326,2997,3353,2926,5015
287,4545,5200,5197,5709,4033
288,3254,2996,3349,3017,4966
289,4546,5286,5218,5656,4031
290,3294,3025,3249,3082,4915
291,4600,5278,5203,5589,4095
292,3130,3042,3349,3097,4829
293,4515,5213,5214,5502,4070
294,3170,2997,3375,3067,4872
295,4520,5184,5179,5455,4146
296,3130,2926,3315,3267,4829
297,4423,5291,5196,5441,4168
298,3128,3022,3311,3253,4808
299,4394,5232,5194,5406,4152
